pokemon_id,version_group_id,move_id,pokemon_move_method_id,level
1,10,22,1,9
1,10,33,1,1
1,10,36,1,15
1,10,38,1,27
1,10,45,1,3
1,10,73,1,7
1,10,74,1,25
1,10,75,1,19
1,10,77,1,13
1,10,79,1,13
1,10,230,1,21
1,10,235,1,33
1,10,388,1,31
1,10,402,1,37
2,10,22,1,9
2,10,33,1,1
2,10,36,1,15
2,10,38,1,31
2,10,45,1,1
2,10,45,1,3
2,10,73,1,1
2,10,73,1,7
2,10,74,1,28
2,10,75,1,20
2,10,76,1,44
2,10,77,1,13
2,10,79,1,13
2,10,230,1,23
2,10,235,1,39
2,10,388,1,36
3,10,22,1,1
3,10,22,1,9
3,10,33,1,1
3,10,36,1,15
3,10,38,1,31
3,10,45,1,1
3,10,45,1,3
3,10,73,1,1
3,10,73,1,7
3,10,74,1,28
3,10,75,1,20
3,10,76,1,53
3,10,77,1,13
3,10,79,1,13
3,10,80,1,32
3,10,230,1,23
3,10,235,1,45
3,10,388,1,39
4,10,10,1,1
4,10,45,1,1
4,10,52,1,7
4,10,53,1,34
4,10,82,1,16
4,10,83,1,37
4,10,108,1,10
4,10,163,1,28
4,10,184,1,19
4,10,424,1,25
5,10,10,1,1
5,10,45,1,1
5,10,52,1,1
5,10,52,1,7
5,10,53,1,39
5,10,82,1,17
5,10,83,1,43
5,10,108,1,10
5,10,163,1,32
5,10,184,1,21
5,10,424,1,28
6,10,10,1,1
6,10,17,1,36
6,10,45,1,1
6,10,52,1,1
6,10,52,1,7
6,10,53,1,42
6,10,82,1,17
6,10,83,1,49
6,10,108,1,1
6,10,108,1,10
6,10,163,1,32
6,10,184,1,21
6,10,257,1,59
6,10,337,1,1
6,10,394,1,66
6,10,403,1,1
6,10,421,1,1
6,10,424,1,28
7,10,33,1,1
7,10,39,1,4
7,10,44,1,16
7,10,55,1,13
7,10,56,1,40
7,10,110,1,10
7,10,130,1,31
7,10,145,1,7
7,10,182,1,22
7,10,229,1,19
7,10,240,1,37
7,10,334,1,34
7,10,352,1,25
7,10,401,1,28
8,10,33,1,1
8,10,39,1,1
8,10,39,1,4
8,10,44,1,16
8,10,55,1,13
8,10,56,1,48
8,10,110,1,10
8,10,130,1,36
8,10,145,1,1
8,10,145,1,7
8,10,182,1,24
8,10,229,1,20
8,10,240,1,44
8,10,334,1,40
8,10,352,1,28
8,10,401,1,32
9,10,33,1,1
9,10,39,1,1
9,10,39,1,4
9,10,44,1,16
9,10,55,1,13
9,10,56,1,60
9,10,110,1,1
9,10,110,1,10
9,10,130,1,39
9,10,145,1,1
9,10,145,1,7
9,10,182,1,24
9,10,229,1,20
9,10,240,1,53
9,10,334,1,46
9,10,352,1,28
9,10,401,1,32
9,10,430,1,1
10,10,33,1,1
10,10,81,1,1
10,10,450,1,15
11,10,106,1,1
11,10,106,1,7
12,10,16,1,16
12,10,18,1,22
12,10,48,1,18
12,10,60,1,24
12,10,77,1,12
12,10,78,1,12
12,10,79,1,12
12,10,93,1,1
12,10,93,1,10
12,10,219,1,34
12,10,318,1,28
12,10,366,1,30
12,10,405,1,40
12,10,445,1,36
13,10,40,1,1
13,10,81,1,1
13,10,450,1,15
14,10,106,1,1
14,10,106,1,7
15,10,31,1,1
15,10,31,1,10
15,10,41,1,16
15,10,42,1,28
15,10,97,1,31
15,10,99,1,19
15,10,116,1,13
15,10,228,1,22
15,10,283,1,40
15,10,372,1,34
15,10,390,1,25
15,10,398,1,37
16,10,16,1,9
16,10,17,1,33
16,10,18,1,17
16,10,28,1,5
16,10,33,1,1
16,10,97,1,29
16,10,98,1,13
16,10,119,1,45
16,10,239,1,21
16,10,297,1,25
