39,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-69,-69,-69,-69,-69,-69,-69,-69,-69,-79,-69,-69,-69,-69,-69,-69,-69,-69,-69,-79,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-79,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69
-71,-71,-71,-71,-71,-71,-71,-71,-71,-82,-71,-71,-71,-71,-71,-71,-71,-71,-71,-79,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-79,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71
74,-105,-105,-105,74,74,74,74,74,-70,74,74,74,74,74,-105,-105,-105,-105,-79,74,73,73,73,73,73,73,73,73,73,-105,-105,-79,74,-105,-105,-105,74,74,74,74,74,74,74,-105,-105,74
-105,-105,-105,73,73,73,73,73,73,-72,74,73,73,73,73,73,73,-105,-105,-79,74,73,73,73,73,73,73,73,73,73,73,-105,-79,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,73,-105
-105,-105,73,73,73,73,73,73,73,74,74,73,73,73,73,73,73,73,73,-86,-84,-80,73,73,-78,-84,-84,-84,-84,-77,74,73,-79,-105,-105,-73,73,-105,-105,-105,-105,-105,-105,-105,-105,73,-105
-105,73,73,73,73,73,73,73,73,-75,-84,-84,-80,73,73,-78,-84,-84,-84,-88,-69,-69,74,73,-69,-69,-69,-69,-69,-79,74,73,-79,-105,73,73,73,-105,-105,-105,-105,-105,-73,73,73,73,-105
-84,-84,-80,73,73,-78,-84,-84,-84,-88,-69,-69,-69,74,73,-69,-69,-69,-69,-79,-71,-71,74,73,-71,-71,-71,-71,-71,-79,74,73,-79,-105,-105,-105,73,73,-105,-105,73,73,73,73,73,73,-105
-69,-69,-69,73,73,-69,-69,-69,-69,-79,-71,-71,-71,74,73,-71,-71,-71,-71,-79,74,74,74,73,74,-105,-105,-105,-105,-79,74,73,-79,-105,-105,73,73,73,-105,-105,73,73,73,73,73,73,73
-71,-71,-71,74,73,-71,-71,-71,-71,-79,74,-105,74,74,73,74,-105,-105,-105,-82,74,73,73,73,73,73,-105,-105,-105,-79,74,73,-79,-105,73,73,73,73,-105,73,73,-105,-105,-105,73,73,73
-14,35,35,74,73,74,-74,-74,-74,-79,-105,-105,73,73,73,73,-105,-105,73,-70,74,73,73,73,73,73,73,73,-105,-79,74,73,-79,74,73,73,73,73,73,73,73,-105,-105,-105,-105,-105,73
14,35,35,73,73,73,-74,-74,-74,-79,-105,73,-105,73,73,73,73,73,-105,-72,74,73,73,73,73,73,73,73,73,-79,74,73,-79,74,73,73,73,73,73,73,73,73,-105,-105,-105,-105,-105
-14,35,35,73,73,73,-74,-74,-74,-79,-105,73,-105,73,73,73,73,73,73,74,74,73,73,73,73,73,73,73,73,-79,74,73,-79,74,73,73,73,73,73,73,73,73,73,73,-105,-105,-105
-84,-84,-84,-84,-84,-84,-84,-84,-84,-89,-84,-84,-84,-84,-84,-84,-84,-84,-84,-85,-84,-80,73,73,-78,-84,-84,-84,-84,-88,74,73,-81,-84,-84,-84,-84,-80,73,73,-78,-84,-84,-84,-84,-84,-84
-69,-69,-69,-69,-69,-69,-69,-69,-69,-82,-69,-69,-69,-69,-69,-69,-69,-69,-69,-79,-69,-69,74,73,-69,-69,-69,-69,-69,-79,74,73,-69,-69,-69,-69,-69,-69,73,73,-69,-69,-69,-69,-69,-69,-69
-71,-71,-71,-71,-71,-71,-71,-71,-71,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-79,-71,-71,74,73,-71,-71,-71,-71,-71,-79,74,73,-71,-71,-71,-71,-71,-71,74,73,-71,-71,-71,-71,-71,-71,-71
-105,-105,-105,-105,73,73,73,73,73,-72,74,74,74,74,74,-105,-105,-105,-105,-79,74,74,74,73,74,74,74,74,74,-79,74,73,74,74,74,74,74,74,74,73,74,74,74,74,74,74,74
-105,-105,-105,73,73,73,73,73,73,74,74,73,73,73,73,73,-105,-105,-105,-79,74,73,73,73,73,73,73,73,73,-79,74,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
-105,-105,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,-105,-86,-84,-84,-84,-84,-84,-84,-84,-84,-84,-87,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-77,73,73,73
-84,-84,-84,-80,73,73,73,73,73,-76,73,73,-73,-73,-73,73,73,73,73,-82,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-79,74,73,73
-69,-69,-69,-69,74,73,73,73,73,-79,74,73,-73,-73,-73,73,73,73,73,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-79,74,73,73
-71,-71,-71,-71,74,73,73,73,73,-79,74,73,73,73,73,73,73,73,73,-72,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,-74,-74,-74,-79,74,73,73
74,74,74,74,74,73,73,73,73,-79,74,73,73,73,73,73,73,73,73,74,74,73,73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,73,-73,-73,73,-74,-74,-74,-79,74,73,73
73,73,73,-78,-84,-84,-84,-84,-84,-88,74,73,73,-78,-84,-84,-84,-84,-84,-77,73,73,73,-73,-73,-73,73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,73,-74,-74,-74,-79,74,73,73
73,73,73,-69,-69,-69,-69,-69,-69,-79,74,73,73,-69,-69,-69,-69,-69,-69,-79,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,-74,-74,-74,-79,74,73,73
73,73,73,-71,-71,-71,-71,-71,-71,-79,74,73,73,-71,-71,-71,-71,-71,-71,-79,73,73,73,73,73,73,73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,73,73,-74,-74,-74,-79,74,73,73
73,73,73,74,74,74,-105,-105,-105,-79,74,73,73,74,74,74,74,74,74,-79,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,-74,-74,-74,-79,74,73,73
