18,,,,,,,,,,,,,,,,,,
-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
-14,-14,-14,-14,-14,-14,-14,11,-12,-12,-12,11,-14,-14,-14,-14,-14,-14,-14
-14,-14,-14,-14,-14,11,11,11,11,11,11,11,11,11,-14,-14,-14,-14,-14
-14,-14,-14,11,11,-10,-10,-11,11,11,11,-11,-10,-10,11,11,-14,-14,-14
-14,-14,11,-10,-10,-10,-10,11,11,11,11,11,-10,-10,-10,-10,11,-14,-14
-14,11,-10,-10,-10,-10,-10,11,11,11,11,11,-10,-10,-10,-10,-10,11,-14
-14,-10,-10,-10,-10,-10,-12,11,11,11,11,11,-12,-10,-10,-10,-10,-10,-14
11,-10,-10,-10,-10,-12,-12,11,11,11,11,11,-12,-12,-10,-10,-10,-10,11
-12,-12,-12,-12,-12,-12,-12,11,11,11,11,11,-12,-12,-12,-12,-12,-12,-12
-12,-12,-12,-12,-12,-12,-12,11,11,11,11,11,-12,-12,-12,-12,-12,-12,-12
-10,-10,-10,-10,-10,-12,-12,11,11,11,11,11,-12,-12,-10,-10,-10,-10,-10
11,-10,-10,-10,-10,-10,-12,-12,11,11,11,-12,-12,-10,-10,-10,-10,-10,11
-14,-10,-10,-10,-10,-10,-10,-10,11,11,11,-10,-10,-10,-10,-10,-10,-10,-14
-14,11,-10,-10,-10,-10,-10,-10,11,11,11,-10,-10,-10,-10,-10,-10,11,-14
-14,-14,11,-10,-10,-10,-10,-12,-12,11,11,11,-10,-10,-10,-10,11,-14,-14
-14,-14,-14,-14,-10,-10,-10,11,11,11,11,11,-10,-10,-10,-14,-14,-14,-14
-14,-14,-14,-14,-14,-14,-14,-11,-11,11,11,11,-14,-14,-14,-14,-14,-14,-14
