15,,,,,,,,,,,,,,
-21,-21,-21,-21,-21,-21,-21,-21,-25,-24,-21,-21,-21,-21,-21
-20,-20,-20,-20,-20,-20,-20,-20,-23,-22,-20,-20,-20,-20,-20
-43,43,43,43,43,43,43,-43,-23,-22,43,43,43,43,43
-43,-42,42,42,42,42,42,42,-23,-22,43,42,42,-42,-42
43,42,-42,-42,-42,-42,42,42,-23,-22,43,42,42,-23,-14
43,44,-42,-42,-42,-42,44,42,-28,-26,43,42,42,-28,-21
43,42,-42,-42,-42,-42,42,42,-29,-27,43,42,42,-29,-20
43,42,42,42,44,42,42,42,43,43,43,42,42,-43,43
43,42,42,42,42,42,42,42,42,42,42,42,42,-43,42
-14,-14,-14,-14,-14,-14,-22,42,42,42,42,42,42,-43,42
-21,-21,-21,-21,-21,-21,-26,43,42,42,42,42,42,-43,42
-20,-20,-20,-20,-20,-20,-27,43,42,42,42,42,42,-43,-43
43,43,43,43,43,43,43,43,42,42,42,42,42,42,42
-43,42,42,42,42,42,42,42,42,42,42,42,42,42,-43
-14,-14,-14,-14,-14,-14,-14,14,-14,-14,-14,-14,-14,-14,-14
