108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-45,-43,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-4,-4,-3,-4,-4,-2,-3,-4,-4,-2,-3,-2,-4,-2,-4,-4,-43,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-45,-3,-45
-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-52,-48,-46,-47,-47,-47,-47,-4,-4,-4,-4,-4,-4,-47,-47,-51,-3,-2,-4,-2,-3,-4,-4,-4,-4,-2,-2,-3,-4,-3,-4,-2,-46,-47,-51,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-52,-48,-2,-45
-44,-44,-44,-44,-44,-44,-44,-44,-44,-52,-47,-47,-48,3,2,4,2,4,3,-4,-4,2,4,-4,-4,4,4,-46,-51,-4,-3,-2,-4,-40,-41,-41,-41,-41,-41,-41,-41,-41,-41,-42,3,3,-46,-51,3,2,2,-52,-47,-47,-47,-47,-51,4,2,2,3,2,2,3,2,4,3,2,2,-4,-4,-4,-4,-4,2,2,2,4,2,4,-52,-47,-47,-47,-47,-48,-4,-2,-45
-44,-44,-44,-44,-44,-44,-44,-52,-47,-48,2,3,2,3,3,2,4,3,2,-4,-4,2,4,-4,-4,2,3,3,-46,-51,-4,-4,-4,-43,-4,-4,-4,-4,-4,-4,-4,-4,2,-45,4,4,2,-46,-47,-47,-47,-48,2,4,4,3,-46,-47,-47,-47,-47,-47,-47,-47,-47,-47,-51,3,2,4,2,2,4,4,3,4,4,-52,-47,-47,-48,2,2,4,4,2,-4,-4,-45
-44,-44,-44,-44,-44,-44,-52,-48,4,4,3,2,4,4,2,3,4,3,4,2,4,2,3,3,3,4,4,4,2,-43,-2,-3,-4,-43,-2,-4,-4,-4,-4,-4,-4,-4,4,-45,4,2,2,3,3,4,2,2,3,3,3,3,3,3,2,4,4,3,2,2,4,3,-46,-51,3,3,3,4,3,2,4,-52,-47,-48,4,2,3,4,2,4,2,4,-4,-4,-45
-44,-44,-44,-44,-44,-52,-48,2,2,3,4,3,4,3,4,3,3,3,4,2,2,20,21,22,2,3,2,4,2,-43,-4,-3,-3,-43,-4,-4,-4,-4,-4,-4,-4,-4,3,-45,4,2,3,3,4,3,3,2,3,4,3,2,4,3,4,2,2,3,4,4,4,3,3,-46,-47,-47,33,34,34,-47,-47,-48,3,4,3,2,4,4,3,3,4,2,4,4,-45
-51,-44,-44,-44,-44,-45,3,3,3,3,2,2,2,4,4,3,4,2,3,4,2,23,24,25,3,3,3,4,4,-46,-51,-4,-2,-43,-4,3,3,-4,-4,-4,2,3,4,-45,2,3,3,3,3,4,2,4,2,3,4,4,2,4,4,3,2,-52,-47,-51,2,4,3,3,3,2,3,2,2,4,3,2,4,4,4,-52,-47,-47,-51,3,3,2,3,3,-45
-43,-44,-44,-44,-44,-45,3,3,2,2,3,4,3,3,3,3,2,3,2,4,4,23,24,25,4,4,2,3,3,4,-43,-4,-2,-43,2,4,4,3,2,4,3,3,2,-45,4,2,4,4,4,2,2,3,4,4,3,3,3,3,3,3,-52,-48,19,-46,-51,4,3,2,2,3,3,4,3,4,2,3,4,-52,-47,-48,19,19,-46,-51,2,2,4,2,-45
-43,-44,-44,-44,-44,-45,4,3,4,3,4,3,4,2,2,2,3,4,3,4,2,23,24,25,2,4,3,2,2,4,-43,-3,-4,-46,-47,-47,-47,33,34,34,-47,-47,-47,-48,3,3,-52,-47,-47,-51,3,3,3,4,3,4,2,4,4,-52,-48,19,19,19,-46,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-48,19,19,19,19,19,-46,-51,2,2,4,-45
-43,-44,-44,-44,-44,-45,3,4,2,3,3,4,3,2,4,4,4,4,3,2,3,23,24,25,4,4,2,2,4,4,-46,-51,4,2,3,2,3,4,4,4,4,2,4,2,3,-52,-48,4,2,-46,-51,2,4,3,3,2,4,3,-52,-48,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-43,3,2,3,-45
-43,-44,-44,-44,-44,-45,3,2,2,3,4,4,3,4,3,2,2,4,4,4,3,23,24,25,2,3,3,3,2,2,4,-46,-47,-51,3,3,2,2,4,4,2,2,2,2,-52,-48,3,3,4,3,-46,-51,2,3,2,4,4,3,-45,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-43,3,2,2,-45
-43,-44,-44,-44,-44,-45,3,4,4,20,21,21,21,21,21,21,21,21,21,21,21,29,24,25,3,4,3,3,3,3,4,3,4,-46,-47,-47,-47,-47,33,34,34,-47,-47,-47,-48,4,2,2,2,4,2,-43,2,3,3,3,2,4,-45,19,19,19,19,-52,-47,-47,-51,19,19,19,19,19,19,19,19,19,-52,-47,-47,-51,19,19,19,19,-43,3,4,3,-45
-43,-44,-44,-44,-44,-45,2,3,2,23,24,24,24,24,24,24,24,24,24,24,24,24,24,25,4,3,4,3,2,2,2,4,2,4,2,2,2,3,3,3,2,2,2,4,3,4,3,3,2,2,3,-43,4,2,2,3,3,2,-50,-42,19,19,19,-45,19,19,-46,-47,-47,-47,-47,-47,-47,-47,-47,-47,-48,19,19,-43,19,19,19,19,-43,4,2,4,-45
-43,-44,-44,-44,-44,-45,2,3,2,26,27,27,27,27,27,27,27,27,27,27,27,31,24,25,2,2,4,2,2,3,2,3,3,3,2,4,3,2,20,21,22,2,4,2,4,4,3,4,3,4,3,-46,-51,4,4,3,4,4,4,-45,19,19,19,-45,19,-52,-47,-47,-51,19,19,-52,-47,-47,-47,-51,19,19,19,-43,19,19,19,19,-43,4,3,2,-45
-43,-44,-44,-44,-44,-45,3,4,2,2,3,4,3,2,4,2,2,4,2,2,3,23,24,25,3,4,3,4,2,2,2,3,4,4,3,2,2,2,23,24,25,4,4,2,3,4,2,2,2,4,2,3,-43,2,2,4,2,3,3,-45,19,19,19,-45,19,-45,19,19,-46,-47,-47,-48,19,19,19,-46,-47,-51,19,-43,19,19,19,-40,-49,3,4,3,-45
-43,-44,-44,-44,-44,-45,4,4,3,2,3,2,2,3,4,-4,-4,-4,-4,-4,3,23,24,25,2,-4,-4,-4,-4,-4,4,4,-4,-4,-4,-4,-4,3,23,24,25,2,2,2,3,3,3,4,3,4,4,3,-43,4,3,4,2,4,3,-50,-42,19,19,-45,19,-50,-42,19,19,19,19,19,19,19,19,19,19,-43,19,-43,19,19,19,-43,2,4,2,2,-45
-43,-44,-44,-44,-44,-50,-42,3,4,3,3,3,3,4,4,-4,-4,-4,-4,-4,3,23,24,25,4,-4,-4,-4,-4,-4,3,4,-4,-4,-4,-4,-4,3,23,24,25,2,3,2,3,2,2,2,3,4,4,3,-43,2,2,2,4,2,2,3,-45,19,19,-45,19,19,-45,19,19,-52,-47,-47,-47,-47,-47,-51,19,-43,19,-43,19,19,19,-43,2,3,4,3,-45
-43,-44,-44,-44,-44,-44,-45,4,4,4,3,3,4,4,3,-4,3,-4,-4,-4,2,23,24,25,3,-4,2,-4,-4,-4,3,2,-4,2,-4,-4,-4,4,23,24,25,4,3,4,3,4,2,3,4,3,2,2,-43,2,4,4,3,4,2,3,-45,19,19,-45,19,19,-45,19,19,-45,-52,-47,-47,-47,-51,-43,19,-43,19,-43,19,19,19,-43,4,2,2,2,-45
