14,13,,,,,,,,,,,
-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18
-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17
16,16,16,16,16,16,16,16,16,-16,-16,-16,-16
16,15,15,15,15,15,15,15,15,15,15,15,15
16,15,15,15,15,15,15,15,15,15,15,15,15
16,15,15,15,15,15,15,15,15,15,15,15,15
16,15,15,15,15,15,15,15,15,15,15,15,15
16,15,15,15,15,15,15,15,15,15,15,15,15
-16,-15,-15,-15,15,15,15,15,15,-15,-15,-15,-15
-16,-15,-15,-15,15,15,15,15,15,-15,-15,-15,-15
16,15,15,15,15,15,15,15,15,15,15,15,15
16,15,15,15,15,15,15,15,15,15,15,15,15
-16,15,15,15,15,15,15,15,15,15,15,15,15
-14,-14,-14,-14,-14,-14,14,-14,-14,-14,-14,-14,-14
doormat,5,13,,,,,,,,,,
labmachine,2,6,,,,,,,,,,
pottedTree,0,12,,,,,,,,,,
pottedTree,12,12,,,,,,,,,,
bookcase,0,9,,,,,,,,,,
bookcase,2,9,,,,,,,,,,
bookcase,9,9,,,,,,,,,,
bookcase,11,9,,,,,,,,,,
bookcase,9,2,,,,,,,,,,
bookcase,11,2,,,,,,,,,,
