17,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,123,124,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-44,2,2,2,-44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,123,124,2,2,2,124,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,123,2,2,2,17,2,2,2,125,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-44,2,2,2,20,29,22,2,2,2,-44,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,123,124,2,2,20,29,24,30,22,2,2,124,125,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-44,2,2,2,2,23,24,24,24,25,2,2,2,2,-44,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-44,123,2,2,2,20,29,24,24,24,30,22,2,2,2,125,-44,-1,-1,-1,-1,-1
-1,-1,-1,-1,-44,123,2,2,2,20,29,24,24,24,24,24,30,22,2,2,2,125,-44,-1,-1,-1,-1
-1,-1,-1,-44,-44,2,2,2,2,23,24,24,24,24,24,24,24,25,2,2,2,2,-44,-44,-1,-1,-1
-1,-1,-44,-44,123,2,2,2,20,29,24,24,24,24,24,24,24,30,22,2,2,2,125,-44,-44,-1,-1
-1,-44,-44,-44,2,2,-2,-2,26,27,27,27,27,27,27,27,27,27,28,-2,-2,2,2,-44,-44,-44,-1
-44,-44,-44,123,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,125,-44,-44,-44
-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44
-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44
-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44
