18,,,,,,,,,,,,,,,,,,,,,
-53,-53,-53,-53,-53,,,,,,,,,,,,,,,,,
-53,-53,-23,-24,-24,,,,,,,,,,,,,,,,,
-61,-18,26,31,24,,,,,,,,,,,,,,,,,
-60,19,53,26,31,,,,,,,,,,,,,,,,,
53,53,53,53,23,,,,,,,,,,,,,,,,,
53,53,53,53,23,,,,,,,,,,,,,,,,,
53,53,53,53,26,,,,,,,,,,,,,,,,,
53,53,53,53,53,,,,,,,,,,,,,,,,,
53,53,53,53,53,,,,,,,,,,,,,,,,,
53,53,53,53,53,,,,,,,,,,,,,,,,,
53,53,53,53,53,,,,,,,,,,,,,,,,,
25,53,53,53,53,,,,,,,,,,,,,,,,,
30,21,22,53,53,,,,,,,,,,,,,,,,,
24,24,30,21,21,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53
24,24,24,24,24,-24,-24,-25,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53
24,24,24,24,24,24,24,25,53,53,53,53,53,53,53,53,53,53,53,53,53,53
24,24,24,24,24,24,24,30,22,53,53,53,53,53,53,53,53,53,53,53,53,53
24,24,24,24,24,24,24,24,25,53,53,53,53,53,53,53,53,53,53,53,17,53
