14,13,,,,,,,,,,,
-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109
-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109
-109,109,109,109,109,109,109,109,109,109,109,109,-109
109,110,110,110,110,110,110,110,110,110,110,110,110
109,-111,110,110,110,110,110,110,110,110,110,-111,110
109,110,110,110,110,110,110,110,110,110,110,110,110
109,110,110,110,110,110,110,110,110,110,110,110,110
109,-111,110,110,110,110,110,110,110,110,110,-111,110
109,110,110,110,110,110,110,110,110,110,110,110,110
109,110,110,110,110,110,110,110,110,110,110,110,110
109,-111,110,110,110,110,110,110,110,110,110,-111,110
109,110,110,-110,110,110,110,110,110,-110,110,110,110
109,110,110,110,110,110,110,110,110,110,110,110,110
-14,-14,-14,-14,-14,-14,14,-14,-14,-14,-14,-14,-14
