21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
-22,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-26,19,18,18,18,-28,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-23,-14
-22,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-27,19,18,18,18,-29,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-23,-14
-22,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-23,-14
-22,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-23,-14
-22,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-23,-14
-22,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-23,-14
-22,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-23,-14
-22,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-23,-14
-22,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-23,-14
-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-22,18,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-22,18,18,18,18,-23,-14
-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-22,18,18,18,18,-23,-14
-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-22,18,18,18,18,-23,-14
-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-22,19,18,18,18,-23,-14,-14,-14,-14,-14,-14,-14,-14,-22,18,18,18,18,-23,-14
