28,24,,,,,,,,,,,,,,,,,,,,,
,,45,3,4,3,4,,,,,,,43,,,,,,,,,
,,45,7,8,7,8,,,,,,,43,,,,,,,,,
,,45,3,4,3,4,,,,,,,43,,,,,,,,,
,,45,7,8,7,8,,,,,,,43,,,,,,,,,
,,45,3,4,3,4,,,,,,,43,,,,,,,,,
,,45,1,2,1,2,,,,,,,43,40,41,41,41,41,41,41,41,42
,,49,41,41,41,41,41,42,,,,,43,43,,,,,,,,45
,,,,,,,,45,,,,,43,43,,,,,,,,45
,,,,,,,,45,,,,,43,43,,,,,,,,45
,,,,,,,,45,,,,,43,43,,,,,,,,45
,,,52,47,47,47,47,48,,,,,43,43,,,,,,,,45
,,,45,,,,,,,,,,43,43,,,,,,,,45
52,47,47,48,,,,,,,,,,43,43,,,,,,,,45
45,,,,,,,,,,,,,43,46,,,,,,,,48
45,,,,,,,,,,,,,46,47,,,,,,,,51
45,,,,,,,,,,,,,,,,,,,,,,43
48,,,,,,,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,,43
42,,,,,,,,,,,,,,,,,,,,,,43
45,,,,,,,,,,,,,,,,,,,,,,43
45,,,,,,,,,,,,,,,,,,,,,,43
45,,,,,,,,,,,,,,,,,,,,,,43
45,,,,,,,,,,,,,,,,,,,,,,43
45,,,,,,,,,,,,,,,,,,,,,,43
49,41,41,41,41,41,41,41,41,41,42,,,40,41,41,41,41,41,41,41,41,50
