17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,40,,,,42,,,,,,,,,,,
,,,,,,,,,,40,43,,,,45,42,,,,,,,,,,
,,,,,,,,,40,,,,,,,,42,,,,,,,,,
,,,,,,,,40,,,,,,,,,,42,,,,,,,,
,,,,,,,40,43,,,,,,,,,,45,42,,,,,,,
,,,,,,40,,,,,,,,,,,,,,42,,,,,,
,,,,,40,43,,,,,,,,,,,,,,45,42,,,,,
,,,,40,43,,,,,,,,,,,,,,,,45,42,,,,
,,,40,43,,,,,,,,,,,,,,,,,,45,42,,,
,,40,40,43,,,,,,,,,,,,,,,,,,45,45,42,,
,40,40,43,,,5,6,,,,,,,,,,,,5,6,,,45,45,42,
40,40,50,43,,,3,4,,,,,,,,,,,,3,4,,,45,49,42,42
43,43,40,,,,1,2,,,,,,,,,,,,1,2,,,,42,45,45
43,43,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,45,45
43,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,45
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
