41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,3,4,43,,,45,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4
7,8,7,8,46,47,,48,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,1,2,1,2,1,2,1,2,7,8,7,8,7,8,7,8,7,8
3,4,3,4,,,,,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,,,,,,,,,3,4,3,4,3,4,3,4,3,4
7,8,7,8,,,,,7,8,7,8,7,8,7,8,7,8,7,8,7,8,1,2,,,-5,-6,,,,,1,2,7,8,7,8,7,8,7,8
3,4,3,4,,,,,3,4,3,4,3,4,3,4,3,4,3,4,3,4,,,,,3,4,,,,,,,3,4,3,4,3,4,3,4
7,8,7,8,,,,,7,8,7,8,7,8,7,8,1,2,1,2,1,2,,,,,1,2,,,-5,-6,,,7,8,7,8,7,8,7,8
3,4,3,4,,,,,3,4,3,4,3,4,3,4,,,,,,,,,,,,,,,3,4,,,3,4,3,4,3,4,3,4
7,8,7,8,,,,,7,8,7,8,7,8,7,8,,,,,,,,,,,,,,,1,2,,,1,2,7,8,7,8,7,8
3,4,3,4,,,,,3,4,3,4,3,4,3,4,3,4,3,4,,,,,,,,,,,,,,,,,3,4,3,4,3,4
7,8,7,8,,,,,7,8,7,8,7,8,7,8,1,2,1,2,,,,,-5,-6,-5,-6,,,,,,,,,7,8,7,8,7,8
3,4,3,4,,,,,3,4,3,4,3,4,3,4,,,,,,,,,3,4,3,4,,,,,,,,,3,4,3,4,3,4
7,8,7,8,,,,,1,2,1,2,1,2,1,2,,,,,,,-5,-6,7,8,7,8,,,-5,-6,-5,-6,,,1,2,7,8,7,8
3,4,3,4,,,,,,,,,,,,,,,,,,,3,4,3,4,3,4,,,3,4,3,4,,,,,3,4,3,4
7,8,7,8,-5,-6,,,,,,,,,,,,,-5,-6,-5,-6,7,8,7,8,1,2,,,7,8,7,8,-5,-6,,,7,8,7,8
3,4,3,4,3,4,,,,,,,,,,,,,3,4,3,4,3,4,3,4,,,,,3,4,3,4,3,4,,,3,4,3,4
7,8,7,8,7,8,-5,-6,,,,,,,,,-5,-6,7,8,7,8,7,8,7,8,-5,-6,,,7,8,1,2,1,2,,,7,8,7,8
3,4,3,4,3,4,3,4,92,93,93,93,93,93,93,94,3,4,3,4,3,4,3,4,3,4,3,4,,,3,4,,,,,,,3,4,3,4
7,8,7,8,7,8,7,8,95,,,,,,,96,7,8,7,8,7,8,7,8,7,8,7,8,,,1,2,,,,,-5,-6,7,8,7,8
3,4,3,4,3,4,3,4,95,,,,98,98,98,99,3,4,3,4,3,4,3,4,3,4,3,4,,,,,,,,,3,4,3,4,3,4
7,8,7,8,1,2,1,2,95,,,96,-5,-6,-5,-6,7,8,7,8,7,8,7,8,7,8,1,2,,,,,-5,-6,-5,-6,7,8,7,8,7,8
3,4,3,4,,,,,95,,,96,3,4,3,4,3,4,3,4,3,4,3,4,3,4,,,,,,,3,4,3,4,3,4,3,4,3,4
7,8,7,8,-5,-6,-5,-6,97,98,98,99,7,8,7,8,7,8,7,8,7,8,1,2,1,2,,,,,,,7,8,7,8,7,8,7,8,7,8
3,4,3,4,3,4,3,4,,,,,3,4,3,4,3,4,3,4,3,4,,,,,,,,,,,3,4,3,4,3,4,3,4,3,4
7,8,7,8,7,8,7,8,,,,,1,2,1,2,1,2,1,2,1,2,,,,,,,-5,-6,-5,-6,7,8,7,8,7,8,7,8,7,8
3,4,3,4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,3,4,3,4,3,4,3,4,3,4,3,4,3,4
7,8,7,8,7,8,7,8,,,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,7,8,7,8,7,8,7,8,7,8,7,8,7,8
3,4,3,4,3,4,3,4,,,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4
7,8,7,8,7,8,1,2,,,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,1,2,1,2,7,8,7,8,7,8
3,4,3,4,3,4,,,,,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,,,,,3,4,3,4,3,4
7,8,7,8,1,2,,,,,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,1,2,,,,,1,2,7,8,7,8
3,4,3,4,,,,,,,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,,,,,,,,,3,4,3,4
7,8,7,8,,,,,,,1,2,7,8,7,8,7,8,7,8,7,8,1,2,1,2,7,8,1,2,,,,,,,,,7,8,7,8
3,4,3,4,,,,,,,,,3,4,3,4,3,4,3,4,3,4,,,,,3,4,,,,,,,,,,,3,4,3,4
7,8,7,8,-5,-6,,,,,,,1,2,7,8,7,8,7,8,1,2,,,,,1,2,,,,,,,,,,,7,8,7,8
3,4,3,4,3,4,,,,,,,,,3,4,3,4,3,4,,,,,,,,,,,,,,,,,,,3,4,3,4
7,8,7,8,7,8,-5,-6,-5,-6,,,,,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,7,8,7,8
3,4,3,4,3,4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4
7,8,7,8,7,8,7,8,7,8,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,7,8,7,8
3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4
7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8
3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4
