90,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,4,3,4,3,4,,,,,,,3,4,3,4,3,4,3,4,45,,,,,,,,,,,,,,,,,,,,,
8,7,8,1,2,1,2,,,,,,,1,2,1,2,1,2,1,2,45,,,,,,,,,,,,,,,,,,,,,
4,3,4,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,
8,7,8,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,
4,3,4,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,
2,1,2,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,
47,47,47,47,47,47,47,47,,,,,47,47,47,47,47,47,47,47,47,48,,,,,,,,,,,,,,,,,,,,,
,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,53,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,63,54,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,,65,60,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,59,60,60,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
